alpha,base_F,base_M,sel_F,sel_M,auroc_realized,auroc_target,unexpl_resid
0.0,0.4336468129571578,0.46925353502137457,0.4702194357366771,0.40874712265702073,0.7412813067187195,0.7412813067187195,0.06988297164817167
0.25,0.5287356321839081,0.49095692206511016,0.5444096133751306,0.47550147977638935,0.7409179543893364,0.7412185332285952,0.05241222873614387
0.5,0.5308254963427377,0.49029924366984545,0.542319749216301,0.46201907267346265,0.738110094496786,0.7405573722328898,0.034941485824092816
0.75,0.5297805642633229,0.4906280828674778,0.5527690700104493,0.4685958566261098,0.7409491780129286,0.7416206852801088,0.01747074291203199
1.0,0.5318704284221526,0.4899704044722131,0.54858934169279,0.47846103255508055,0.7423962922450591,0.7447363001160411,2.4629589254122374e-14
