alpha,sel_F,sel_M,base_F,base_M,auroc_realized
0.0,0.4702194357366771,0.40874712265702073,0.4336468129571578,0.46925353502137457,0.7412813067187195
0.25,0.5559038662486938,0.4639921078592568,0.5235109717868338,0.49490299243669844,0.7426302176185844
0.5,0.554858934169279,0.46530746464978623,0.5266457680250783,0.4945741532390661,0.742743403254106
0.75,0.5559038662486938,0.47287076619533047,0.5245559038662487,0.49358763564616903,0.741490303554054
1.0,0.5433646812957158,0.4718842486024334,0.5287356321839081,0.49325879644853665,0.7421381937435916
