quantity,female,male,F_minus_M,ci_lo,ci_hi
realized base rate,0.4336468129571578,0.46925353502137457,-0.03560672206421678,-0.07018558110559381,-0.00039037198688628616
merit selection rate,0.4702194357366771,0.40874712265702073,0.06147231307965639,0.026933665539954306,0.09854357222453018
