reference,corrected_base_F,corrected_base_M,corrected_base_gap_F_minus_M
male,0.5266457680250783,0.46925353502137457,0.057392233003703774
female,0.5381400208986415,0.48799736928641896,0.05014265161222259
pooled,0.5287356321839081,0.49095692206511016,0.03777871011879791
neumark,0.5318704284221526,0.4899704044722131,0.041900023949939524
