reference_structure,explained,unexplained,explained_pct,unexplained_pct
male,-0.035882610174097565,0.07083710735689841,-102.65520338172904,202.6552033816382
female,-0.021341161439598334,0.05629565862239905,-61.054122243474104,161.05412224338284
pooled,-0.028137832792937634,0.06309232997573848,-80.49846246038153,180.49846246029068
neumark,-0.034928474465370785,0.06988297164817167,-99.92555259105657,199.9255525909658
