gender,n_rejected,feasibility_rate,feas_CI_lo,feas_CI_hi,median_cost_SD,IQR_cost_SD
male,352,0.486,0.432,0.537,1.0,1.5
female,111,0.622,0.532,0.712,1.0,1.5
