LogReg,GaussianNB,kNN,SVM-RBF,DecisionTree,RandomForest,ExtraTrees,HistGB,XGBoost,CatBoost,LightGBM,MLP,EBM
0.7976615082289362,0.6961729304839106,0.7618177352001965,0.7832522721690003,0.7056890198968312,0.7961287153033653,0.7763055760255464,0.7779710144927535,0.78436747727831,0.7877671333824613,0.7768901989683125,0.7799361336281012,0.7986931957749939
0.8000098255956767,0.6974748219110785,0.7846524195529354,0.7893097519037092,0.6751854581183985,0.8011790714812086,0.7867305330385653,0.7688135593220338,0.7808695652173914,0.7922869073937608,0.7618865143699336,0.782942765905183,0.8089216408744779
0.7343748464750676,0.712635716040285,0.6973176123802506,0.6988651436993367,0.6653205600589536,0.729629083763203,0.7303414394497666,0.717042495701302,0.7249422746253992,0.7295897813804962,0.7245001228199459,0.7227708179808402,0.7372635716040284
0.7887212856156954,0.6976239771270827,0.7641427585526963,0.7785664990633936,0.7097949324657398,0.7986788918465938,0.7817361727299615,0.7636596667652569,0.7737257221729271,0.7785270629991128,0.7657399191560682,0.7821058858325939,0.7937789608597062
0.7887212856156955,0.676732722074337,0.773469387755102,0.7873607413980086,0.708237207926649,0.8069308882973478,0.7748250024647539,0.7871537020605343,0.8020506753426009,0.802109829439022,0.7827467218771568,0.8044759932958689,0.795878931282658
0.7644116924588553,0.6827266028002947,0.7281257676246622,0.7537902235323017,0.6605846229427658,0.7605895357406043,0.7514075165806928,0.744102186195038,0.7479832964873494,0.755991156963891,0.750135101940555,0.7484156226971259,0.761238025055269
0.7600982559567675,0.6538147875214935,0.743316138540899,0.7525325472856792,0.6875116678948662,0.7737754851387865,0.7562220584622942,0.7564529599606976,0.7576025546548759,0.7642446573323507,0.7525521984770327,0.7617882584131663,0.7612969786293293
0.7967477278309998,0.7162711864406779,0.7698747236551217,0.7763792679931222,0.7186882829771555,0.7987226725620241,0.7783640383198229,0.7615720953082781,0.7832866617538689,0.789653647752395,0.77334315892901,0.7862245148612135,0.8016408744780152
0.7775313023760229,0.6931677018633542,0.762111801242236,0.7584738243123337,0.7338410726609486,0.7842551513358966,0.7536576949620428,0.7586808636498077,0.7757862565315982,0.7784974859509021,0.762516020901114,0.7743961352657006,0.7843931775608793
0.8100069013112493,0.7020358868184955,0.7833481218574386,0.7961451247165533,0.7189933944592329,0.8101252095040915,0.7829340431824905,0.7843537414965988,0.802563344178251,0.8028985507246377,0.7936409346347235,0.7710440698018339,0.8186828354530218
0.7661606484893146,0.7143846720707443,0.7261704740849915,0.7505674281503316,0.6748661262589045,0.7552247605011053,0.7571751412429377,0.7224957013018914,0.7308867600098256,0.7415278801277326,0.7217096536477523,0.7555195283714075,0.7577401129943503
0.8067403586342423,0.7199656104151314,0.7676639646278556,0.7933136821419797,0.7339228690739377,0.8174404323262097,0.7950921149594694,0.793780397936625,0.8006779661016951,0.8059936133628103,0.7960501105379514,0.7963055760255465,0.8152591500859738
0.7778727585359861,0.6740014738393516,0.7625251780889216,0.7649815770081061,0.7192729059199214,0.7934954556619995,0.7622451486121345,0.7710046671579465,0.7751903709162369,0.7766740358634241,0.7659051830017195,0.7848882338491772,0.7908228936379267
0.7775510204081632,0.6799369022971508,0.7612836438923396,0.7603273193335305,0.6800552104899931,0.7816918071576457,0.7658779453810509,0.750507739327615,0.7665483584738244,0.7689243813467416,0.7609780143941635,0.770699004239377,0.789500147885241
0.7737257221729272,0.7013753327417924,0.773765158237208,0.7614956127378488,0.6800847875382038,0.7781228433402346,0.7689046633146012,0.7614709651976732,0.7652864044168391,0.7624667258207631,0.7577836931874198,0.7693581780538303,0.778743961352657
